Id BDTNS,Provenance,Date,Seal,Id Line,Part text,Line,Text
162710,GARšana,SS06 - 04 - 02,N,L777765,,,
162710,GARšana,SS06 - 04 - 02,N,L777766,o.,1,3 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777767,o.,2,lu2 Tu-li2-um{ki}
162710,GARšana,SS06 - 04 - 02,N,L777768,o.,3,1 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777769,o.,4,lu2 Di3-ma-at-Kal2-bu-um{ki}
162710,GARšana,SS06 - 04 - 02,N,L777770,o.,5,3 [guruš šid]im
162710,GARšana,SS06 - 04 - 02,N,L777771,o.,6,⌈arad2⌉ e2-a-me-eš2
162710,GARšana,SS06 - 04 - 02,N,L777772,o.,7,------------
162710,GARšana,SS06 - 04 - 02,N,L777773,o.,8,šu-nigin2 7 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777774,o.,9,ša3-bi-ta
162710,GARšana,SS06 - 04 - 02,N,L777775,o.,10,5 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777776,o.,11,gi-sal e2-til-la gul-de3 / gub-ba
162710,GARšana,SS06 - 04 - 02,N,L777777,o.,12,1 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777778,r.,1,GIN2-bal {giš}kiri6 Zabalam4{ki} / du3-de3 gub-ba (=MUŠ3.ZA.UNUG)
162710,GARšana,SS06 - 04 - 02,N,L777779,r.,2,1 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777780,r.,3,ma šub-ba sig4 gub-ba
162710,GARšana,SS06 - 04 - 02,N,L777781,r.,4,------------
162710,GARšana,SS06 - 04 - 02,N,L777782,r.,5,šu-nigin2 7 guruš šidim
162710,GARšana,SS06 - 04 - 02,N,L777783,r.,6,zi-ga-am3
162710,GARšana,SS06 - 04 - 02,N,L777784,r.,7,gurum2 ak šidim-e-ne
162710,GARšana,SS06 - 04 - 02,N,L777785,r.,8,giri3 {d}IŠKUR-ILLAT šabra
162710,GARšana,SS06 - 04 - 02,N,L777786,r.,9,ša3 GAR-ša-an-na{ki}
162710,GARšana,SS06 - 04 - 02,N,L777787,r.,10,iti u5-bi2-gu7
162710,GARšana,SS06 - 04 - 02,N,L777788,r.,11,mu us2-sa bad3 mar-tu / ba-du3 mu us2-sa-bi
162710,GARšana,SS06 - 04 - 02,N,L777789,l.ed.,1,u4-2-kam
162711,GARšana,SS06 - 04 - 04,N,L777790,,,
162711,GARšana,SS06 - 04 - 04,N,L777791,o.,1,[3] guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777792,o.,2,lu2 Tu-li2-um{ki}
162711,GARšana,SS06 - 04 - 04,N,L777793,o.,3,[1] guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777794,o.,4,lu2 Di3-ma-at-Kal2-bu-um{ki}
162711,GARšana,SS06 - 04 - 04,N,L777795,o.,5,2 guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777796,o.,6,l[u2] I-zi-in-Er3-ra{ki}
162711,GARšana,SS06 - 04 - 04,N,L777797,o.,7,[2] guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777798,o.,8,lu2 {i3-si}Isin2{ki}
162711,GARšana,SS06 - 04 - 04,N,L777799,o.,9,3 guruš šidim arad2 e2-a
162711,GARšana,SS06 - 04 - 04,N,L777800,o.,10,------------
162711,GARšana,SS06 - 04 - 04,N,L777801,o.,11,šu-nigin2 11 guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777802,o.,12,ša3-bi-ta
162711,GARšana,SS06 - 04 - 04,N,L777803,o.,13,8 guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777804,o.,14,gi-sal e2-til-la gul-de3
162711,GARšana,SS06 - 04 - 04,N,L777805,o.,15,1 guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777806,r.,1,ma šub-ba gub-ba
162711,GARšana,SS06 - 04 - 04,N,L777807,r.,2,1 guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777808,r.,3,GIN2-bal {giš}kiri6 Zabalam4/{ki} du3-a (=MUŠ3.ZA.UNUG)
162711,GARšana,SS06 - 04 - 04,N,L777809,r.,4,1 guruš šidim a2-ag2 ki Šu-Kab-ta-/še3 de6-a
162711,GARšana,SS06 - 04 - 04,N,L777810,r.,5,šu-nigin2 11 guruš šidim
162711,GARšana,SS06 - 04 - 04,N,L777811,r.,6,zi-ga-am3 gurum2 ak
162711,GARšana,SS06 - 04 - 04,N,L777812,r.,7,giri3 {d}IŠKUR-ILLAT šabra
162711,GARšana,SS06 - 04 - 04,N,L777813,r.,8,[š]a3 GAR-ša-an-na{ki}
162711,GARšana,SS06 - 04 - 04,N,L777814,r.,9,i[ti] u5-bi2-gu7
162711,GARšana,SS06 - 04 - 04,N,L777815,r.,10,mu {d}Šu-{d}Suen lugal-/e na-du3-a mah {d}En-lil2 / {d}Nin-lil2-ra mu-ne-du3
162711,GARšana,SS06 - 04 - 04,N,L777816,l.ed.,1,u4-4-kam
162712,GARšana,SS06 - 04 - 04,N,L777817,,,
162712,GARšana,SS06 - 04 - 04,N,L777818,o.,1,3 guruš šidim lu2 Tu-l[i2-um{ki}]
162712,GARšana,SS06 - 04 - 04,N,L777819,o.,2,1 guruš šidim lu2 Di3-ma-at-Kal2-/bu-um{ki}
162712,GARšana,SS06 - 04 - 04,N,L777820,o.,3,2 [guruš šidi]m lu2 I-zi-in-Er3-ra{ki}
162712,GARšana,SS06 - 04 - 04,N,L777821,o.,4,2 guruš šidim lu2 {i3-si}Isin2{ki}
162712,GARšana,SS06 - 04 - 04,N,L777822,o.,5,3 guruš šidim arad2 e2-a
162712,GARšana,SS06 - 04 - 04,N,L777823,o.,6,------------
162712,GARšana,SS06 - 04 - 04,N,L777824,o.,7,šu-nigin2 11 guruš šidim
162712,GARšana,SS06 - 04 - 04,N,L777825,o.,8,ša3-bi-ta
162712,GARšana,SS06 - 04 - 04,N,L777826,o.,9,8 guruš šidim
162712,GARšana,SS06 - 04 - 04,N,L777827,o.,10,gi-sal e2-til-la gul-de3 / gub-ba
162712,GARšana,SS06 - 04 - 04,N,L777828,o.,11,1 guruš šidim
162712,GARšana,SS06 - 04 - 04,N,L777829,o.,12,ma šub-ba sig4 gub-ba
162712,GARšana,SS06 - 04 - 04,N,L777830,o.,13,1 guruš šidim 
162712,GARšana,SS06 - 04 - 04,N,L777831,r.,1,GIN2-bal {giš}kiri6 Zabalam4!{ki} / du3-de3 gub-ba (=MUŠ3.ZA.<UNUG>{ki})
162712,GARšana,SS06 - 04 - 04,N,L777832,r.,2,1 guruš šidim a2-ag2-ga2 / ki Šu-Kab-ta2-še3 de6-a
162712,GARšana,SS06 - 04 - 04,N,L777833,r.,3,------------
162712,GARšana,SS06 - 04 - 04,N,L777834,r.,4,šu-nigin2 11 guruš šidim
162712,GARšana,SS06 - 04 - 04,N,L777835,r.,5,zi-ga-am3
162712,GARšana,SS06 - 04 - 04,N,L777836,r.,6,gurum2 ak šidim-e-ne
162712,GARšana,SS06 - 04 - 04,N,L777837,r.,7,ša3 GAR-ša-an-na{ki}
162712,GARšana,SS06 - 04 - 04,N,L777838,r.,8,giri3 {d}IŠKUR-ILLAT-ta
162712,GARšana,SS06 - 04 - 04,N,L777839,r.,9,iti u5-bi2-gu7
162712,GARšana,SS06 - 04 - 04,N,L777840,r.,10,mu us2-sa {d}Šu-{d}Suen / lugal-e bad3 mar-tu / ba-du3-a mu us2-sa-/bi
162712,GARšana,SS06 - 04 - 04,N,L777841,l.ed.,1,u4-4-kam
162713,GARšana,SS06 - 04 - 09,N,L777842,,,
162713,GARšana,SS06 - 04 - 09,N,L777843,o.,1,3 [guruš ši]dim 
162713,GARšana,SS06 - 04 - 09,N,L777844,o.,2,lu2 T[u-li2]-um{ki}
162713,GARšana,SS06 - 04 - 09,N,L777845,o.,3,1 [guruš] šidim
162713,GARšana,SS06 - 04 - 09,N,L777846,o.,4,lu2 Di3-ma-at-Kal2-bu-um{ki}
162713,GARšana,SS06 - 04 - 09,N,L777847,o.,5,2 guruš šidim
162713,GARšana,SS06 - 04 - 09,N,L777848,o.,6,lu2 I-zi-in-Er3-ra{ki}
162713,GARšana,SS06 - 04 - 09,N,L777849,o.,7,2 guruš šidim
162713,GARšana,SS06 - 04 - 09,N,L777850,o.,8,lu2 {i3-[si]}Isin2{ki}
162713,GARšana,SS06 - 04 - 09,N,L777851,o.,9,3 guruš šidim
162713,GARšana,SS06 - 04 - 09,N,L777852,o.,10,arad2 e2-a
162713,GARšana,SS06 - 04 - 09,N,L777853,o.,11,------------
162713,GARšana,SS06 - 04 - 09,N,L777854,o.,12,šu-nigin2 11 guruš šidim
162713,GARšana,SS06 - 04 - 09,N,L777855,o.,13,ša3-bi-ta
162713,GARšana,SS06 - 04 - 09,N,L777856,o.,14,8 guruš [šidim]
162713,GARšana,SS06 - 04 - 09,N,L777857,o.,15,g[i-sa]l e2-[ti]l-l[a gu]l-de3 / gub-ba
162713,GARšana,SS06 - 04 - 09,N,L777858,o.,16,1 guruš šidim
162713,GARšana,SS06 - 04 - 09,N,L777859,r.,1,ma šub-ba sig4 gub-ba
162713,GARšana,SS06 - 04 - 09,N,L777860,r.,2,1 guruš šidim
162713,GARšana,SS06 - 04 - 09,N,L777861,r.,3,GIN2-[ba]l {giš}kiri6 Zabalam4{[ki]} / du3-de3 [gub-b]a (=MUŠ3.ZA.UNUG)
162713,GARšana,SS06 - 04 - 09,N,L777862,r.,4,1 guruš š[idim] a2-ag2-ga2 / ki Šu-Kab-ta2-še3 de6-a
162713,GARšana,SS06 - 04 - 09,N,L777863,r.,5,------------
162713,GARšana,SS06 - 04 - 09,N,L777864,r.,6,šu-nigin2 11 guruš šidim 
162713,GARšana,SS06 - 04 - 09,N,L777865,r.,7,zi-ga-am3
162713,GARšana,SS06 - 04 - 09,N,L777866,r.,8,gurum2 ak šidim-e-ne
162713,GARšana,SS06 - 04 - 09,N,L777867,r.,9,ša3 GAR-ša-an-na{ki}
162713,GARšana,SS06 - 04 - 09,N,L777868,r.,10,giri3 {d}IŠKUR-ILLAT šabra
162713,GARšana,SS06 - 04 - 09,N,L777869,r.,11,iti u5-bi2-gu7
